521,Periyasemur,Per
259,Talikota,Tal
268,Sedam,Sed
270,Shikaripur,Shi
502,Sumerpur,Sum
546,Sattur,Sat
542,Vandavasi,Van
491,Sagwara,Sag
500,Ramganj Mandi,Ram
254,Mahalingapura,Mah
323,Mahemdabad,Mah
533,Tharamangalam,Tha
347,Tirukkoyilur,Tir
520,Oddanchatram,Odd
517,Palladam,Pal
256,Mudalagi,Mud
166,Ranavav,Ran
486,Lakheri,Lak
539,Vadakkuvalliyur,Vad
522,Tirukalukundram,Tir
435,Udaipurwati,Uda
536,Uthamapalayam,Uth
506,Losal,Los
506,Sri Madhopur,Sri
479,Ramngarh,Ram
492,Rawatsar,Raw
490,Rajakhera,Raj
259,Muddebihal,Mud
493,Shahpura,Sha
539,Surandai,Sur
279,Pavagada,Pav
574,Tharad,Tha
212,Mansa,Man
173,Umbergaon,Umb
147,Talaja,Tal
272,Malur,Mal
493,Shahpura,Sha
185,Vadnagar,Vad
153,Raisinghnagar,Rai
259,Sindhagi,Sin
257,Sanduru,San
156,Manavadar,Man
528,Sankari,San
509,Malpura,Mal
268,Afzalpur,Afz
155,Salaya,Sal
539,Shenkottai,She
526,Vadipatti,Vad
522,Sholingur,Sho
274,Maddur,Mad
483,Nadbai,Nad
279,Madhugiri,Mad
261,Tekkalakote,Tek
253,Terdal,Ter
534,Tirupathur,Tir
538,Manachanallur,Man
361,Sanchore,San
264,Mudabidri,Mud
483,Nagar,Nag
185,Vijapur,Vij
546,Viswanatham,Vis
542,Polur,Pol
539,Panagudi,Pan
173,Pardi,Par
522,Uthiramerur,Uth
254,Magadi,Mag
488,Rajgarh (Alwar),Raj
507,Sheoganj,She
266,Navalgund,Nav
502,Sadri,Sad
543,Thiruthuraipoondi,Thi
270,Shiggaon,Shi
517,Pallapatti,Pal
541,Ponneri,Pon
515,Lalgudi,Lal
274,Shrirangapattana,Shr
520,Natham,Nat
608,Unnamalaikadai,Unn
499,Todaraisingh,Tod
279,P.N.Patti,P.N
259,Sindagi,Sin
527,Tharangambadi,Tha
269,Sakaleshapura,Sak
157,Rapar,Rap
499,Todabhim,Tod
272,Srinivaspur,Sri
506,Reengus,Ree
518,Tittakudi,Tit
490,Rajaldesar,Raj
370,Pacode,Pac
389,Songadh,Son
153,Sadulshahar,Sad
510,Sambhar,Sam
474,Prantij,Pra
507,Mount Abu,Mou
529,O' Valley,O' 
521,Suriyampalayam,Sur
487,Mangrol,Man
505,Phulera,Phu
267,Ron,Ron
526,Sholavandan,Sho
533,Thammampatti,Tha
519,Namagiripettai,Nam
142,Lathi,Lat
535,Peravurani,Per
528,Parangipettai,Par
531,Pudupattinam,Pud
497,Mandawa,Man
517,Pallikonda,Pal
507,Pindwara,Pin
539,Sivagiri,Siv
267,Mundargi,Mun
531,Punjaipugalur,Pun
168,Sadalagi,Sad
484,Mandalgarh,Man
523,Padmanabhapuram,Pad
502,Takhatgarh,Tak
531,Thirupuvanam,Thi
275,Piriyapatna,Pir
153,Adalaj,Ada
91,Chhapra,Chh
264,Adyar,Ady
